open_datasets,percentage,edition
Budget,9,Barometer 1st ed.
Budget,13,Barometer 2nd ed.
Budget,18,Barometer 3rd ed.
Budget,10,Barometer 4th ed.
Company registries,4,Barometer 1st ed.
Company registries,3,Barometer 2nd ed.
Company registries,1,Barometer 3rd ed.
Company registries,5,Barometer 4th ed.
Spending,6,Barometer 1st ed.
Spending,9,Barometer 2nd ed.
Spending,2,Barometer 3rd ed.
Spending,3,Barometer 4th ed.
Contracting,,Barometer 1st ed.
Contracting,6,Barometer 2nd ed.
Contracting,8,Barometer 3rd ed.
Contracting,3,Barometer 4th ed.
Land ownership,4,Barometer 1st ed.
Land ownership,3,Barometer 2nd ed.
Land ownership,5,Barometer 3rd ed.
Land ownership,1,Barometer 4th ed.
