region,value,year,indicator,broadband
Africa,22.9,2016,penetration rate,Mobile
Arab States,45.2,2016,penetration rate,Mobile
Asia & Pacific,47.4,2016,penetration rate,Mobile
CIS,59.7,2016,penetration rate,Mobile
Europe,80.1,2016,penetration rate,Mobile
The Americas,82.7,2016,penetration rate,Mobile
Africa,26,2017,penetration rate,Mobile
Arab States,47.2,2017,penetration rate,Mobile
Asia & Pacific,52.2,2017,penetration rate,Mobile
CIS,64.2,2017,penetration rate,Mobile
Europe,85.2,2017,penetration rate,Mobile
The Americas,86.3,2017,penetration rate,Mobile
Africa,13.54,2017,YoY Change,Mobile
Arab States,4.42,2017,YoY Change,Mobile
Asia & Pacific,10.13,2017,YoY Change,Mobile
CIS,7.54,2017,YoY Change,Mobile
Europe,6.37,2017,YoY Change,Mobile
The Americas,4.35,2017,YoY Change,Mobile
Africa,0.4,2016,penetration rate,Fixed
Arab States,4.7,2016,penetration rate,Fixed
Asia & Pacific,11.3,2016,penetration rate,Fixed
CIS,15.8,2016,penetration rate,Fixed
Europe,30.2,2016,penetration rate,Fixed
The Americas,19.1,2016,penetration rate,Fixed
Africa,0.4,2017,penetration rate,Fixed
Arab States,5.3,2017,penetration rate,Fixed
Asia & Pacific,12.3,2017,penetration rate,Fixed
CIS,16.5,2017,penetration rate,Fixed
Europe,30.9,2017,penetration rate,Fixed
The Americas,19.6,2017,penetration rate,Fixed
Africa,0,2017,YoY Change,Fixed
Arab States,12.77,2017,YoY Change,Fixed
Asia & Pacific,8.85,2017,YoY Change,Fixed
CIS,4.43,2017,YoY Change,Fixed
Europe,2.32,2017,YoY Change,Fixed
The Americas,2.62,2017,YoY Change,Fixed
