country,users,iso3
China *,738539792,
India,462124989,
United States,286942362,
Brazil,139111185,
Indonesia,132700000,
Japan,118453595,
Russia,103147691,
Nigeria,91598757,
Bangladesh,73347000,
Germany,71727551,
Mexico,69000000,
Vietnam,64000000,
United Kingdom,59333154,
Philippines,57607242,
Thailand,57000000,
Iran,56700000,
France,55860330,
Italy,51836798,
Korea South,47013649,
Turkey,46282850,
Pakistan,44608065,
Kenya,43329434,
Egypt,37333841,
Spain,35705960,
Argentina,34785206,
Canada,33000381,
South Africa,29935634,
Colombia,28475560,
Poland,25666238,
Malaysia,24554255,
Saudi Arabia,24147715,
Australia,21176595,
Taiwan,20601364,
Morocco,20535174,
Ukraine,19099692,
Uganda,19000000,
Algeria,18580000,
Venezuela,18254349,
Peru,18000000,
Netherlands,16143879,
Ethiopia,16037811,
Uzbekistan,15453227,
Chile,14108392,
Iraq,14000000,
Kazakhstan,13873513,
Myanmar,13747506,
Ecuador,13471736,
Sudan,11806570,
Romania,11178477,
Belgium,10060745,
Ghana,9935286,
Czech Republic,9323428,
Sweden,9216226,
United Arab Emirates,8515420,
Hungary,7874733,
Azerbaijan,7799431,
Tanzania,7394079,
Switzerland,7180749,
Austria,7135168,
Greece,7072534,
Portugal,7015519,
Yemen,6911784,
Zimbabwe,6722677,
Sri Lanka,6700160,
Israel,6640287,
Hong Kong *,6461894,
Nepal,6400000,
Cote d'Ivoire,6318355,
Jordan,6300000,
Cameroon,6128422,
Dominican Republic,6054013,
Syria,6025631,
Angola,5951453,
Tunisia,5848534,
Belarus,5786572,
Denmark,5479054,
Guatemala,5300000,
Zambia,5192284,
Mozambique,5169135,
Finland,5107402,
Congo Dem. Rep.,5107271,
Norway,4974667,
Serbia,4705141,
Singapore,4699204,
Bolivia,4600000,
Lebanon,4596494,
Slovakia,4507849,
Ireland,4453436,
Costa Rica,4236443,
Bulgaria,4155050,
Senegal,4119527,
Cambodia,4115551,
New Zealand,4078993,
Afganistan,4005414,
Rwanda,3724678,
Cuba,3696765,
Oman,3310260,
Kuwait,3214347,
Paraguay,3149519,
Croatia,3133485,
El Salvador,3100000,
Puerto Rico,3047311,
Libya,2800000,
Panama,2799892,
Honduras,2700000,
Burkina Faso,2684265,
Bosnia-Herzegovina,2628846,
Georgia,2411370,
Uruguay,2400000,
Lithuania,2399678,
Mali,2212450,
Qatar,2204580,
South Sudan,2179963,
Armenia,2126716,
Kyrgystan,2113106,
Nicaragua,1900000,
Albania,1823233,
Tajikistan,1813256,
Malawi,1758503,
Moldova,1748645,
Latvia,1663739,
Jamaica,1581100,
Laos,1539106,
Kosovo,1523373,
Slovenia,1501039,
Mongolia,1500000,
Macedonia,1439089,
Saint Lucia,1409370,
Bahrain,1390517,
Benin,1375033,
Haiti,1308290,
Guinea,1302485,
Madagascar,1300000,
Estonia,1196521,
Turkmenistan,989915,
Trinidad & Tobago,942713,
Niger,931548,
Botswana,923528,
Papau New Guinea,906695,
Somalia,900000,
Togo,869956,
Gabon,865492,
Cyprus,84468,
Mauritius,803896,
Namibia,797027,
Sierra Leone,792462,
Mauritania,770000,
Chad,748274,
Burundi,617116,
Lesotho,597860,
Luxembourg,548807,
Macao *,495052,
Swaziland,436051,
Fiji,421958,
Congo,400000,
Liberia,395063,
Gambia,392277,
Reunion (FR),390000,
Montenegro,37948,
Timor-Leste,340000,
Iceland,336367,
Malta,334056,
Bahamas,333143,
Bhutan,331423,
Brunei Darussalam,325836,
Guyana,305007,
Martinique,303302,
Maldives,270000,
Suriname,260000,
Cabo Verde,256972,
Central African Rep.,246432,
New Caledonia,240000,
Barbados,228717,
Guadeloupe,220000,
Equatorial Guinea,212704,
French Polynesia,182442,
Djibouti,180000,
Belize,165014,
Curaçao,138774,
Guam,124717,
Mayotte (FR),10794,
French Guiana,100000,
Aruba,91532,
Guinea-Bissau,84000,
Vanuatu,82764,
Eritrea,71000,
Samoa,68000,
Bermuda,67950,
Andorra,66728,
St. Vincent & Grenadines,65984,
Comoros,65578,
Jersey,63000,
Solomon Islands,62423,
Antigua & Barbuda,60306,
US Virgin Islands,57485,
Grenada,56000,
Sao Tome & Principe,55575,
Seychelles,55119,
Guernsey & Alderney,55070,
Greenland,52000,
Tonga,49822,
Dominica,48249,
Man Isle of,48000,
Faroe Islands,47515,
Cayman Islands,47003,
St. Kitts & Nevis,37210,
Liechtenstein,36183,
Micronesia,32749,
Northern Marianas,29000,
Monaco,28214,
Western Sahara,27000,
Turks & Caicos,25000,
Gibraltar,24000,
American Samoa,22000,
Bonaire S.E. Saba,20956,
Marshall Islands,20000,
San Marino,16645,
Kiribati,14724,
British Virgin Islands,1462,
Korea North,14000,
Wallis & Futuna,1309,
Anguilla,12557,
Palau,7700,
Cook Islands,6300,
Nauru,5152,
Tuvalu,5000,
St. Pierre & Maquelon,4500,
Antarctica,4400,
Wallis & Futuna,3900,
Monserrat,2900,
Falkland Islands,2800,
Saint Helena (UK),2000,
St. Barthélemy (FR),1540,
St. Martin (FR),1100,
Niue,1100,
Tokelau,800,
Christmas Island,790,
Norfolk Island,770,
Vatican City State,480,
